Income,Tax,Effective Rate,Marginal Rate
56400,12950.418,0.22961734,0.33249998
56500,12983.668,0.22979943,0.33249998
56600,13016.918,0.22998089,0.33249998
56700,13050.168,0.2301617,0.33249998
56800,13083.418,0.23034187,0.33249998
56900,13116.668,0.23052141,0.33249998
57000,13149.918,0.23070031,0.33249998
57100,13183.168,0.23087859,0.33249998
57200,13216.418,0.23105626,0.33249998
57300,13249.668,0.2312333,0.33249998
57400,13282.918,0.23140971,0.33249998
57500,13316.168,0.23158553,0.33249998
57600,13349.418,0.23176073,0.33249998
57700,13382.668,0.23193532,0.33249998
57800,13415.918,0.23210931,0.33249998
57900,13449.168,0.2322827,0.33249998
58000,13482.418,0.23245548,0.33249998
58100,13515.668,0.23262767,0.33249998
58200,13548.918,0.23279928,0.33249998
58300,13582.168,0.2329703,0.33249998
58400,13615.418,0.23314072,0.33249998
58500,13648.668,0.23331057,0.33249998
58600,13681.918,0.23347983,0.33249998
58700,13715.168,0.23364852,0.33249998
58800,13748.418,0.23381664,0.33249998
58900,13781.668,0.23398417,0.33249998
59000,13814.918,0.23415115,0.33249998
59100,13848.168,0.23431756,0.33249998
59200,13881.418,0.2344834,0.33249998
59300,13914.668,0.2346487,0.33249998
59400,13947.918,0.23481344,0.33249998
59500,13981.168,0.23497762,0.33249998
59600,14014.418,0.23514125,0.33249998
59700,14047.668,0.23530433,0.33249998
59800,14080.918,0.23546685,0.33249998
59900,14114.168,0.23562884,0.33249998
60000,14147.418,0.2357903,0.33249998
60100,14180.668,0.23595122,0.33249998
60200,14213.918,0.2361116,0.33249998
60300,14247.168,0.23627144,0.33249998
60400,14280.418,0.23643076,0.33249998
60500,14313.668,0.23658955,0.33249998
60600,14346.918,0.23674782,0.33249998
60700,14380.168,0.23690557,0.33249998
60800,14413.418,0.2370628,0.33249998
60900,14446.668,0.23721951,0.33249998
61000,14479.918,0.2373757,0.33249998
61100,14513.168,0.2375314,0.33249998
61200,14546.418,0.23768657,0.33249998
61300,14579.668,0.23784123,0.33249998
61400,14612.918,0.2379954,0.33249998
61500,14646.168,0.23814908,0.33249998
61600,14679.418,0.23830225,0.33249998
61700,14712.668,0.23845491,0.33249998
61800,14745.918,0.2386071,0.33249998
61900,14779.168,0.23875877,0.33249998
